,City,Country,Latitude,Longitude,Date - Time,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,-53.16,-70.91,2019-10-01 14:16:34,39.2,55,75,13.87
1,Hilo,US,19.71,-155.08,2019-10-01 14:18:25,75.2,73,75,5.82
2,Rikitea,PF,-23.12,-134.97,2019-10-01 14:16:28,67.9,83,75,17.87
3,Vaini,IN,15.34,74.49,2019-10-01 14:17:11,75.2,88,40,3.36
4,Souillac,FR,45.6,-0.6,2019-10-01 14:16:51,71.01,64,40,26.4
5,Romny,UA,50.74,33.49,2019-10-01 14:19:49,54.4,67,68,8.41
6,Hami,CN,42.84,93.51,2019-10-01 14:19:50,62.86,24,100,12.77
7,Ushuaia,AR,-54.81,-68.31,2019-10-01 14:12:17,35.6,80,90,23.04
8,Albany,US,42.65,-73.75,2019-10-01 14:13:14,62.01,87,90,14.99
9,Gat,SN,14.69,-16.54,2019-10-01 14:19:54,91.4,52,0,11.41
10,Mattawa,CA,46.32,-78.7,2019-10-01 14:19:57,66.99,97,90,6.93
11,Jamestown,AU,-33.21,138.6,2019-10-01 14:16:37,66.1,24,2,11.34
12,Katsuura,JP,33.93,134.5,2019-10-01 14:17:35,75.0,83,75,3.36
13,Lebu,ET,8.96,38.73,2019-10-01 14:17:12,60.8,82,90,12.75
14,Upernavik,GL,72.79,-56.15,2019-10-01 14:20:02,37.12,61,13,8.63
15,Lalsot,IN,26.56,76.33,2019-10-01 14:20:03,84.2,62,40,3.36
16,Hobart,AU,-42.88,147.33,2019-10-01 14:15:03,45.0,93,0,1.81
17,Hermanus,ZA,-34.42,19.24,2019-10-01 14:16:41,73.0,47,18,8.99
18,Port Alfred,ZA,-33.59,26.89,2019-10-01 14:16:53,66.0,78,63,1.99
19,Fortuna,US,40.6,-124.16,2019-10-01 14:16:38,46.0,100,90,11.41
20,Pangai,TO,-19.8,-174.35,2019-10-01 14:20:09,76.72,89,21,8.23
21,Busselton,AU,-33.64,115.35,2019-10-01 14:16:36,51.01,61,0,5.7
22,Simpang,ID,4.36,96.17,2019-10-01 14:20:11,73.12,95,100,2.19
23,Mbandaka,CD,0.05,18.26,2019-10-01 14:17:25,83.38,66,100,3.42
24,Dikson,RU,73.51,80.55,2019-10-01 14:16:54,29.74,79,53,15.05
25,Port Elizabeth,US,39.31,-74.98,2019-10-01 14:17:03,73.99,64,90,6.93
26,Kodiak,US,39.95,-94.76,2019-10-01 14:16:40,78.01,73,1,12.75
